filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1066.023496;0;765.880159;0;300.143337
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1086.910707;0;781.020391;0;305.890316
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1099.90285;0;791.654945;0;308.247905
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1106.516164;0;796.846399;0;309.669765
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1114.290981;0;804.263737;0;310.027244
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1152.332113;0;842.243036;0;310.089077
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1135.720479;0;834.95174;0;300.768739
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1149.036801;0;845.001545;0;304.035256
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1153.249588;0;851.019325;0;302.230263
20180307_1_Input-Values_Synthesized_Non_incrementally_b2_3_0.2_3_5_40_cmaes_15;alw_[0,1](not(brake_request[t] == 0) or ev_[0,0.02](F[t] < 150));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1171.556521;0;866.227949;0;305.328572
